code,name,description,url,status
1,OECD DAC CRS Purpose Codes (5 digit),The sector reported corresponds to an OECD DAC CRS 5-digit purpose code,http://reference.iatistandard.org/codelists/Sector/,active
2,OECD DAC CRS Purpose Codes (3 digit),The sector reported corresponds to an OECD DAC CRS 3-digit purpose code,http://reference.iatistandard.org/codelists/SectorCategory/,active
3,Classification of the Functions of Government (UN),The sector reported corresponds to the UN Classification of the Functions of Government (CoFoG),http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=4,active
4,Statistical classification of economic activities in the European Community,The sector reported corresponds to the statistical classifications of economic activities in the European Community,http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2&StrLanguageCode=EN,active
5,National Taxonomy for Exempt Entities (USA),The sector reported corresponds to the National Taxonomy for Exempt Entities (NTEE) - USA,https://nccs.urban.org/publication/irs-activity-codes,active
6,AidData,The sector reported corresponds to AidData classifications,,active
7,SDG Goal,A value from the top-level list of UN sustainable development goals (SDGs) (e.g. ‘1’),http://reference.iatistandard.org/codelists/unsdg-goals,active
8,SDG Target,A value from the second-level list of UN sustainable development goals (SDGs) (e.g. ‘1.1’),http://reference.iatistandard.org/codelists/unsdg-targets,active
9,SDG Indicator,A value from the second-level list of UN sustainable development (SDG) indicators,http://unstats.un.org/sdgs/indicators/indicators-list/,active
10,Humanitarian Global Clusters (Inter-Agency Standing Committee),The sector reported corresponds to an Inter-Agency Standard Committee Humanitarian Global Cluster code,https://data.humdata.org/dataset/global-coordination-groups-beta,active
11,North American Industry Classification System (NAICS),The sector reported corresponds to the NAICS codelist,https://www.census.gov/cgi-bin/sssd/naics/naicsrch?chart=2017,active
12,UN System Function,The sector reported corresponds to the UN System Function codelist,https://unsceb.org/sites/default/files/2021-04/UN_DataStandards_Digital_20210420.pdf,active
99,Reporting Organisation,The sector reported corresponds to a sector vocabulary maintained by the reporting organisation for this activity,,active
98,Reporting Organisation 2,The sector reported corresponds to a sector vocabulary maintained by the reporting organisation for this activity (if they are referencing more than one),,active
