code,name,description,status
10,ODA,Official Development Assistance,active
20,OOF,Other Official Flows,withdrawn
21,Non-export credit OOF,"Other Official Flows, excl. export credits.",active
22,Officially supported export credits,Officially supported export credits. Covers both official direct export credits and private export credits under official guarantee or insurance.,active
30,Private grants,made by NGOs and other civil society organisations (e.e. philantropic foundations) based in the reporting DAC country,active
35,Private Market,Private long-term (i.e. over one-year maturity) capital transactions made by residents of DAC countries,withdrawn
36,Private Foreign Direct Investment,Private Foreign Direct Investment.,active
37,Other Private flows at market terms,Private long-term (i.e. over one-year maturity) capital transactions made by residents of DAC countries.,active
40,Non flow,e.g. GNI,active
50,Other flows,e.g. non-ODA component of peacebuilding operations),active
