code,status,codeforiati:group-name,codeforiati:group-code
BE-BCE_KBO-0264814354,active,Bélgica,BE
XM-DAC-2-10,active,Bélgica,BE
CA-3,active,Canadá,CA
CA-4,active,Canadá,CA
DE-1,active,Alemania,DE
XI-IATI-IKI,active,Alemania,DE
XM-DAC-5-52,active,Alemania,DE
XM-DAC-5-7,active,Alemania,DE
XI-IATI-EC_ECHO,active,Comisión Europea,EC
XI-IATI-EC_INTPA,active,Comisión Europea,EC
XI-IATI-EC_NEAR,active,Comisión Europea,EC
ES-DIR3-E04585801,active,España,ES
XM-DAC-50-21,active,España,ES
FR-3,active,Francia,FR
FR-6,active,Francia,FR
GB-GOV-GB-9,active,Reino Unido,GB
GB-GOV-9,withdrawn,Reino Unido,GB
GB-9,withdrawn,Reino Unido,GB
GB-COH-RC000346,active,Reino Unido,GB
GB-GOV-1,active,Reino Unido,GB
GB-GOV-10,active,Reino Unido,GB
GB-GOV-12,active,Reino Unido,GB
GB-GOV-13,active,Reino Unido,GB
GB-GOV-14,active,Reino Unido,GB
GB-GOV-15,active,Reino Unido,GB
GB-GOV-2,active,Reino Unido,GB
GB-GOV-21,active,Reino Unido,GB
GB-GOV-24,active,Reino Unido,GB
GB-GOV-50,active,Reino Unido,GB
GB-GOV-52,active,Reino Unido,GB
GB-GOV-6,active,Reino Unido,GB
GB-GOV-7,active,Reino Unido,GB
GB-GOV-8,active,Reino Unido,GB
XM-DAC-701-2,active,Japón,JP
XM-DAC-701-8,active,Japón,JP
NL-KVK-08215619-201210000,withdrawn,Países Bajos,NL
NL-KVK-27367015,withdrawn,Países Bajos,NL
NL-KVK-27378529,withdrawn,Países Bajos,NL
NL-KVK-30276595,withdrawn,Países Bajos,NL
XM-DAC-7,withdrawn,Países Bajos,NL
NL-KVK-27078545,withdrawn,Países Bajos,NL
41120,active,Naciones Unidas,UN
41AAA,active,Naciones Unidas,UN
XI-IATI-OCHASDC,active,Naciones Unidas,UN
XI-IATI-UNPF,active,Naciones Unidas,UN
XM-DAC-30010,active,Naciones Unidas,UN
XM-DAC-41108,active,Naciones Unidas,UN
XM-DAC-41110,active,Naciones Unidas,UN
XM-DAC-41111,active,Naciones Unidas,UN
XM-DAC-41114,active,Naciones Unidas,UN
XM-DAC-41116,active,Naciones Unidas,UN
XM-DAC-41119,active,Naciones Unidas,UN
XM-DAC-41121,active,Naciones Unidas,UN
XM-DAC-41122,active,Naciones Unidas,UN
XM-DAC-41123,active,Naciones Unidas,UN
XM-DAC-41127,active,Naciones Unidas,UN
XM-DAC-41130,active,Naciones Unidas,UN
XM-DAC-41140,active,Naciones Unidas,UN
XM-DAC-41146,active,Naciones Unidas,UN
XM-DAC-41149,active,Naciones Unidas,UN
XM-DAC-41301,active,Naciones Unidas,UN
XM-DAC-41302,active,Naciones Unidas,UN
XM-DAC-41304,active,Naciones Unidas,UN
XM-DAC-45001,active,Naciones Unidas,UN
XM-DAC-47066,active,Naciones Unidas,UN
XM-DAC-928,active,Naciones Unidas,UN
XM-OCHA-CERF,active,Naciones Unidas,UN
US-GOV-18,active,Estados Unidos de América,US
US-18,withdrawn,Estados Unidos de América,US
US-GOV-1,active,Estados Unidos de América,US
US-GOV-10,active,Estados Unidos de América,US
US-GOV-11,active,Estados Unidos de América,US
US-GOV-12,active,Estados Unidos de América,US
US-GOV-13-ADF,active,Estados Unidos de América,US
US-GOV-14,active,Estados Unidos de América,US
US-GOV-15,active,Estados Unidos de América,US
US-GOV-16,active,Estados Unidos de América,US
US-GOV-17,active,Estados Unidos de América,US
US-GOV-19,active,Estados Unidos de América,US
US-GOV-2,active,Estados Unidos de América,US
US-GOV-20,active,Estados Unidos de América,US
US-GOV-21,active,Estados Unidos de América,US
US-GOV-22,active,Estados Unidos de América,US
US-GOV-26,active,Estados Unidos de América,US
US-GOV-32,active,Estados Unidos de América,US
US-GOV-6,active,Estados Unidos de América,US
US-GOV-7,active,Estados Unidos de América,US
US-GOV-9,active,Estados Unidos de América,US
US-GOV-TBD,active,Estados Unidos de América,US
US-USAGOV,withdrawn,Estados Unidos de América,US
44000,active,El Grupo del Banco Mundial,WB
XI-IATI-WBTF,active,El Grupo del Banco Mundial,WB
XM-DAC-903,active,El Grupo del Banco Mundial,WB
