code,name,status,codeforiati:category-name,codeforiati:group-code,codeforiati:group-name,codeforiati:category-code
11110,Gestión administrativa y políticas de la educación,active,"Educación, nivel no especificado",110,Educación,111
11120,Instalaciones educativas y capacitación,active,"Educación, nivel no especificado",110,Educación,111
11130,Capacitación de docentes,active,"Educación, nivel no especificado",110,Educación,111
11182,Investigación educativa,active,"Educación, nivel no especificado",110,Educación,111
11220,Educación primaria,active,Educación básica,110,Educación,112
11230,Competencias básicas para la vida dirigidas a adultos,active,Educación básica,110,Educación,112
11231,Competencias básicas para la vida dirigidas a jóvenes,active,Educación básica,110,Educación,112
11232,Equivalente a la educación primaria para adultos,active,Educación básica,110,Educación,112
11240,Educación de la primera infancia,active,Educación básica,110,Educación,112
11250,Alimentación escolar,active,Educación básica,110,Educación,112
11260,Educación secundaria inferior,active,Educación básica,110,Educación,112
11320,"Educación secundaria superior (modificada, incluye datos de 11322)",active,Educación secundaria,110,Educación,113
11330,Capacitación profesional,active,Educación secundaria,110,Educación,113
11420,Educación superior,active,Educación post-secundaria,110,Educación,114
11430,Capacitación técnica y administrativa avanzada,active,Educación post-secundaria,110,Educación,114
12110,Gestión administrativa y políticas de la salud,active,"Salud, general",120,Salud,121
12181,Educación o capacitación médica,active,"Salud, general",120,Salud,121
12182,Investigación médica,active,"Salud, general",120,Salud,121
12191,Servicios médicos,active,"Salud, general",120,Salud,121
12220,Atención sanitaria básica,active,Salud básica,120,Salud,122
12230,Infraestructura de la salud básica,active,Salud básica,120,Salud,122
12240,Nutrición básica,active,Salud básica,120,Salud,122
12250,Lucha contra las enfermedades infecciosas,active,Salud básica,120,Salud,122
12261,Educación sanitaria,active,Salud básica,120,Salud,122
12262,Lucha contra el paludismo,active,Salud básica,120,Salud,122
12263,Lucha contra tuberculosis,active,Salud básica,120,Salud,122
12264,,active,Salud básica,120,Salud,122
12281,Desarrollo del personal sanitario,active,Salud básica,120,Salud,122
12310,"Lucha contra enfermedades no transmisibles, general",active,Enfermedades no transmisibles,120,Salud,123
12320,Lucha contra el tabaquismo,active,Enfermedades no transmisibles,120,Salud,123
12330,Lucha contra el consumo nocivo de alcohol y drogas,active,Enfermedades no transmisibles,120,Salud,123
12340,Fomento de la salud y el bienestar mentales,active,Enfermedades no transmisibles,120,Salud,123
12350,Otro tipo de prevenciones y tratamientos de enfermedades no transmisibles,active,Enfermedades no transmisibles,120,Salud,123
12382,Investigación en prevención de y lucha contra enfermedades no transmisibles,active,Enfermedades no transmisibles,120,Salud,123
13010,Gestión administrativa y políticas en materia demográfica,active,Programas/políticas sobre población y salud reproductiva,130,Programas/políticas sobre población y salud reproductiva,130
13020,Atención de la salud reproductiva,active,Programas/políticas sobre población y salud reproductiva,130,Programas/políticas sobre población y salud reproductiva,130
13030,Planificación familiar,active,Programas/políticas sobre población y salud reproductiva,130,Programas/políticas sobre población y salud reproductiva,130
